Date,Tavg,Tmin,Tmax
2015-04-14,45.09398020344138,40.90078722531052,49.74422115902122
2015-04-15,46.85516426960114,41.61649453044797,52.83700200136121
2015-04-16,50.063021239009366,43.263382119445545,56.654452458499144
2015-04-17,53.349937199514926,47.842455593285976,59.19848281663168
2015-04-18,53.39444982958859,48.23078336382385,58.68232959570513
2015-04-19,54.32491195872979,47.997250698286265,60.64392276443461
2015-04-20,56.301515037607494,48.822712756940895,63.762807125376206
2015-04-21,52.867788278774356,47.31680597214525,57.790105691864866
2015-04-22,48.309483499206,43.89878134732944,52.493871173158404
2015-04-23,47.740074861754884,45.64468981923479,49.8912951617502
2015-04-24,48.11013100731339,44.82122011653191,51.98498103610908
2015-04-25,47.71211735703006,43.84125580079052,51.85519530837396
2015-04-26,49.95103550975068,43.422144561408004,54.98167460913173
2015-04-27,57.78385446239494,50.582390345712085,69.32528286838753
2015-04-28,53.07420233404633,49.27048288497771,58.67308281625179
2015-04-29,51.864951665074706,46.88624880004951,57.49744603927667
2015-04-30,52.360011098432985,48.2171266982637,58.41471036782299
2015-05-01,53.148025082155506,49.3844493514894,57.41331032175752
2015-05-02,52.38151875425726,47.40281739867197,57.47921269142894
2015-05-03,53.95948553536417,47.442782800510614,60.85923013352865
2015-05-04,53.71059542770379,48.72153122727262,58.85118788177046
2015-05-05,50.25809362263822,47.7214872283411,53.156490023909626
2015-05-06,50.952062774644766,45.58152414459131,56.68184044515916
2015-05-07,54.346052778048,47.78894185181433,60.67587158083792
2015-05-08,57.953663519523225,50.019496063801775,65.32584570469963
2015-05-09,59.77144525821871,50.977607264461525,68.24512323610355
2015-05-10,58.21794546248949,54.58886021038079,62.779753340126845
2015-05-11,53.89374381443733,51.90540946954786,55.955824464221394
2015-05-12,54.86139751264191,52.41516176187624,58.193989501532734
2015-05-13,53.026017081755704,52.06814130456634,54.11150773967294
2015-05-14,54.656801445614526,50.893599412043116,60.01611433416817
2015-05-15,56.7540111733419,51.824478398489234,62.438054336742155
2015-05-16,55.547378386110374,52.883986138448094,58.47764475567469
2015-05-17,57.084994519376856,53.17337390679037,62.30474828197964
2015-05-18,59.95440918046368,54.42025220462343,66.48081238161896
2015-05-19,60.62625811921521,55.167735491025596,67.18149703171481
2015-05-20,59.98929909973177,53.90639116100846,65.7497969513187
2015-05-21,62.742967471663384,55.790007351421494,69.89407091296754
2015-05-22,58.37290038840347,55.46941745092041,60.966441276464195
2015-05-23,56.22277369441506,53.16664206298825,58.82308729846752
2015-05-24,56.64662737183215,53.799998133792236,60.31247119072036
2015-05-25,56.06887380078322,53.32173671269717,58.67848069534551
2015-05-26,59.178099442284946,54.346353819917184,65.04297392745468
2015-05-27,61.996679580988136,54.51068091675239,70.18494296176542
2015-05-28,63.96847484916922,57.26457527229793,71.32555066756353
2015-05-29,64.79143661702552,58.69597243262043,73.5547367680969
2015-05-30,60.09186508277376,54.556867862647366,68.15229386276779
2015-05-31,60.11274271468855,54.9919939797506,65.29058178111447
2015-06-01,58.84864893403437,56.77072100072172,60.69721729358959
2015-06-02,56.95173945689893,55.21824626641133,59.291755836714835
2015-06-03,56.28244781558427,53.82728006827524,59.344202652878394
2015-06-04,58.31034946054706,52.62611280132497,65.04979168452482
2015-06-05,61.947921335195154,55.285528405456795,68.55262615066863
2015-06-06,64.76046594354244,55.84587761094696,71.73187531322557
2015-06-07,66.64590365914752,58.14647473130576,73.8684354300557
2015-06-08,66.43160181903738,58.96720909853134,72.93622678766178
2015-06-09,65.41451612170879,59.240756999403025,72.03183835389314
2015-06-10,63.87367860759682,56.331306753568995,72.30678074714314
2015-06-11,61.378761054095925,55.86213117375887,66.86699009328936
2015-06-12,57.97624186609402,54.71342353451102,62.283084974184895
2015-06-13,59.67787471629499,52.93281765791645,66.10896759174639
2015-06-14,62.6789246941629,55.177949701774665,70.67911050029517
2015-06-15,65.44782571641134,59.14168569867339,73.03651892071312
2015-06-16,61.69312124608326,56.25889750596074,66.94553458680514
2015-06-17,61.289499447489696,55.410116532014946,67.88974271972779
2015-06-18,61.78423497023349,57.825715151669044,66.68950657382854
2015-06-19,59.342640732923066,56.34304926039872,63.003808756075955
2015-06-20,60.12470580959509,53.442659087936875,66.8742360550614
2015-06-21,62.98692375429289,56.789539937588515,70.47853302994551
2015-06-22,62.250538614506574,57.16639677336745,67.91875762876938
2015-06-23,62.715832379867386,55.90335819960362,70.32517522564513
2015-06-24,64.91931818192016,60.56129895482214,68.52620973737066
2015-06-25,67.13793136988954,59.382951437001836,74.95651685010463
2015-06-26,68.64603751095682,62.09169932888635,75.30507787517595
2015-06-27,70.46232747444013,63.07442287839859,77.27362191341055
2015-06-28,70.6877896633771,65.70800531995192,75.60227458659223
2015-06-29,71.71841064930756,65.09310281787364,78.3080023316956
2015-06-30,68.918026368987,62.34955933826939,76.01606799405252
2015-07-01,69.4423978837002,62.92960671442694,76.3498328642277
2015-07-02,72.1687095392545,64.38621722549895,78.85594226982462
2015-07-03,72.22717497953768,65.71061113946213,78.50593652126585
2015-07-04,71.78453070620755,63.748635426247105,77.63529566805997
2015-07-05,72.3974544629586,64.46748768716907,79.11654508712863
2015-07-06,70.10652587029234,63.2319568969185,78.93365567358134
2015-07-07,66.45577788779288,59.91781338245043,72.98859420737048
2015-07-08,68.80177501123703,61.697373184795296,75.15262741270263
2015-07-09,69.55021509707404,62.115488342201694,77.28220534723444
2015-07-10,64.77746830837711,61.12343608486125,68.17559582603357
2015-07-11,63.16609748942625,61.22263629640903,65.29320446627358
2015-07-12,65.15297537952442,60.55863622189402,73.16832869521498
2015-07-13,63.3726292736811,60.19865629117368,68.16752526382868
2015-07-14,64.50740829316607,58.547716568485086,70.77957682819913
2015-07-15,64.23929925489968,59.84310338349185,69.16304671584024
2015-07-16,63.7747253317055,59.51287660442169,69.385224793486
2015-07-17,65.03327604340525,58.13996241848069,71.2942891875774
2015-07-18,69.49668502571238,60.890899191731805,77.94772553813422
2015-07-19,74.92253867613407,63.80910809660467,87.26006938509914
2015-07-20,66.38227329405625,61.68391690520467,73.97329807611221
2015-07-21,62.23465922040808,59.90615347142958,66.37901093148562
2015-07-22,62.46788552530103,57.99072826966915,67.84166828812522
2015-07-23,63.28895070003887,58.657179427102335,70.89126216512528
2015-07-24,62.89850657782938,59.159528692891435,67.0549457053194
2015-07-25,60.267229223143005,58.59279183319236,63.08008380130957
2015-07-26,59.73763141499788,57.057025647300826,62.78274541619594
2015-07-27,62.07826029263296,56.21033357823545,68.11603730574217
2015-07-28,64.63157622857388,58.36777322082603,71.5403464082115
2015-07-29,67.89968899249438,61.509673220770765,75.4774983672488
2015-07-30,70.34467863980376,63.31209019687651,77.67436081017166
2015-07-31,71.1264016087738,63.43566714478767,78.9915423503661
2015-08-01,70.24848873578351,63.15011622066921,77.35379440585706
2015-08-02,69.5747235989094,62.683320624985,76.99761578970224
2015-08-03,67.55584985337374,63.92415939874694,72.71070589759263
2015-08-04,64.62031638728284,60.15716465195815,70.33740879402941
2015-08-05,62.033877076953,58.498181170154034,66.78004655782269
2015-08-06,63.10041457330173,58.80138650533384,69.3920018714039
2015-08-07,64.64033745903323,58.59676204724106,71.9949110596063
2015-08-08,64.94642957780833,60.548763975561414,69.5293759777246
2015-08-09,65.71441460065347,60.554018722691,72.3629788696859
2015-08-10,67.69949153026663,62.564039415380535,75.83368462001451
2015-08-11,68.26564501193182,61.9259612274746,75.25488806233412
2015-08-12,70.97597490592345,63.3128816073567,79.1139101513314
2015-08-13,68.70936660688484,62.61739533700654,73.72796529747049
2015-08-14,63.45273647354947,62.11440601372349,66.12108835370222
2015-08-15,61.517452917733316,59.08086323403876,65.67486281621618
2015-08-16,62.33950598208057,57.42817630264291,68.17862831870272
2015-08-17,63.86583892353332,57.53910005616355,70.3568224586643
2015-08-18,66.70138748872326,59.85605345028423,73.70101941452971
2015-08-19,69.18174485054895,61.60145815583559,77.06308767393001
2015-08-20,64.3834723589515,60.9360400246958,69.95635298372717
2015-08-21,62.314493228832816,58.266805256546675,67.03710697920195
2015-08-22,63.5346759317211,56.71496322460079,71.23841126214205
2015-08-23,65.69897517690882,59.50737302647233,73.03676264904014
2015-08-24,62.856414592485464,58.003994612286874,68.98154557505325
2015-08-25,62.09777689972517,56.25549138032793,69.24286130518064
2015-08-26,64.89210216553555,58.00266127737516,72.29944611501936
2015-08-27,68.44439156706387,60.38765746289901,78.08918870801823
2015-08-28,64.95357890844376,60.51323018184128,69.69532429927281
2015-08-29,63.23105522673341,59.603127268201646,66.63819803501411
2015-08-30,60.71715432210513,57.050792983654375,64.5271933371241
2015-08-31,61.225673144299655,60.105318574364084,62.56353332011075
2015-09-01,60.706266679991124,59.12951241475757,61.63063130547338
2015-09-02,58.317240483928565,54.90359639217812,62.424370750566425
2015-09-03,55.55991349557578,51.80213861464591,61.03764878115766
2015-09-04,55.705151390353215,51.91243292705394,59.86108876824189
2015-09-05,57.40500815568952,52.263089007988185,63.228356949444525
2015-09-06,56.89846980793654,54.615356190634124,59.549549704128324
2015-09-07,60.43276208207832,55.46960147852726,66.9400852598346
2015-09-08,61.88515723856335,57.889641033185775,67.67274123159028
2015-09-09,62.3132984637671,57.88918275335408,68.2569028029818
2015-09-10,63.08211136072287,58.48936593753598,68.44841154693489
