datetime,heat_unit_1,heat_unit_2,heat_unit_3,nonheat_ecc_dhw_heater,nonheat_ecc_stove,nonheat_admin_stove,nonheat_elder_stove
2024-07-30 14:00:00,0.0,0.0,0.0,0.16395400060281468,0.0,0.0,0.0
2024-07-30 15:00:00,0.0,0.0,0.0,0.16395400060281468,0.0,0.0,0.0
2024-07-30 16:00:00,0.0,0.0,0.0,0.16395400060281468,0.0,0.0,0.0
2024-07-30 17:00:00,0.0,0.0,0.0,0.16395400060281468,0.0,0.0,0.0
2024-07-30 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31 07:00:00,0.0,0.0,0.0,0.16395400060281468,0.5465133353427156,0.5465133353427156,2.623264009645035
2024-07-31 08:00:00,0.0,0.0,0.0,0.16395400060281468,0.5465133353427156,0.5465133353427156,2.623264009645035
2024-07-31 09:00:00,0.0,0.0,0.0,0.16395400060281468,0.5465133353427156,0.5465133353427156,2.623264009645035
2024-07-31 10:00:00,0.0,0.0,0.0,0.16395400060281468,0.0,0.0,2.623264009645035
2024-07-31 11:00:00,0.0,0.0,0.0,0.16395400060281468,0.0,0.0,2.623264009645035
2024-07-31 12:00:00,0.0,0.0,0.0,0.16395400060281468,0.0,0.0,2.623264009645035
2024-07-31 13:00:00,0.0,0.0,0.0,0.16395400060281468,0.0,0.0,0.0
2024-07-31 14:00:00,0.0,0.0,0.0,0.16395400060281468,0.0,0.0,0.0
2024-07-31 15:00:00,0.0,0.0,0.0,0.16395400060281468,0.0,0.0,0.0
2024-07-31 16:00:00,0.0,0.0,0.0,0.16395400060281468,0.0,0.0,0.0
2024-07-31 17:00:00,0.0,0.0,0.0,0.16395400060281468,0.0,0.0,0.0
2024-07-31 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
