"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094263","BREMERTON, WA US","2017-09-14",,"75","41"
"USW00094263","BREMERTON, WA US","2017-09-15",,"77","38"
"USW00094263","BREMERTON, WA US","2017-09-16",,"75","42"
"USW00094263","BREMERTON, WA US","2017-09-17",,"63","46"
"USW00094263","BREMERTON, WA US","2017-09-18",,"60","46"
"USW00094263","BREMERTON, WA US","2017-09-19",,"62","42"
"USW00094263","BREMERTON, WA US","2017-09-20",,"55","42"
"USW00094263","BREMERTON, WA US","2017-09-21",,"63","42"
"USW00094263","BREMERTON, WA US","2017-09-22",,"69","44"
"USW00094263","BREMERTON, WA US","2017-09-23",,"69","46"
"USW00094263","BREMERTON, WA US","2017-09-24",,"74","43"
"USW00094263","BREMERTON, WA US","2017-09-25",,"63","53"
"USW00094263","BREMERTON, WA US","2017-09-26",,"73","51"
"USW00094263","BREMERTON, WA US","2017-09-27",,"81","57"
"USW00094263","BREMERTON, WA US","2017-09-28",,"85","48"
"USW00094263","BREMERTON, WA US","2017-09-29",,"68","46"
"USW00094263","BREMERTON, WA US","2017-09-30",,"66","43"
"USW00094263","BREMERTON, WA US","2017-10-01",,"58","40"
"USW00094263","BREMERTON, WA US","2017-10-02",,"62","37"
"USW00094263","BREMERTON, WA US","2017-10-03",,"68","34"
"USW00094263","BREMERTON, WA US","2017-10-04",,"68","39"
"USW00094263","BREMERTON, WA US","2017-10-05",,"72","35"
"USW00094263","BREMERTON, WA US","2017-10-06",,"63","35"
"USW00094263","BREMERTON, WA US","2017-10-07",,"63","37"
"USW00094263","BREMERTON, WA US","2017-10-08",,"61","37"
"USW00094263","BREMERTON, WA US","2017-10-09",,"66","33"
"USW00094263","BREMERTON, WA US","2017-10-10",,"57","33"
"USW00094263","BREMERTON, WA US","2017-10-11",,"57","34"
"USW00094263","BREMERTON, WA US","2017-10-12",,"50","37"
"USW00094263","BREMERTON, WA US","2017-10-13",,"53","31"
"USW00094263","BREMERTON, WA US","2017-10-14",,"55","31"
"USW00094263","BREMERTON, WA US","2017-10-15",,"65","35"
"USW00094263","BREMERTON, WA US","2017-10-16",,"60","34"
"USW00094263","BREMERTON, WA US","2017-10-17",,"62","40"
"USW00094263","BREMERTON, WA US","2017-10-18",,"57","38"
"USW00094263","BREMERTON, WA US","2017-10-19",,"53","46"
"USW00094263","BREMERTON, WA US","2017-10-20",,"52","41"
"USW00094263","BREMERTON, WA US","2017-10-21",,"57","44"
"USW00094263","BREMERTON, WA US","2017-10-22",,"59","45"
"USW00094263","BREMERTON, WA US","2017-10-23",,"63","42"
"USW00094263","BREMERTON, WA US","2017-10-24",,"64","40"
"USW00094263","BREMERTON, WA US","2017-10-25",,"58","38"
"USW00094263","BREMERTON, WA US","2017-10-26",,"60","37"
"USW00094263","BREMERTON, WA US","2017-10-27",,"66","41"
"USW00094263","BREMERTON, WA US","2017-10-28",,"70","37"
"USW00094263","BREMERTON, WA US","2017-10-29",,"56","38"
"USW00094263","BREMERTON, WA US","2017-10-31",,"59","30"
"USW00094263","BREMERTON, WA US","2017-11-01",,"56","43"
"USW00094263","BREMERTON, WA US","2017-11-02",,"48","38"
"USW00094263","BREMERTON, WA US","2017-11-03",,"40","23"
"USW00094263","BREMERTON, WA US","2017-11-04",,"39","23"
"USW00094263","BREMERTON, WA US","2017-11-05",,"38","33"
"USW00094263","BREMERTON, WA US","2017-11-06",,"47","28"
"USW00094263","BREMERTON, WA US","2017-11-07",,"45","27"
"USW00094263","BREMERTON, WA US","2017-11-08",,"51","36"
"USW00094263","BREMERTON, WA US","2017-11-09",,"48","35"
"USW00094263","BREMERTON, WA US","2017-11-10",,"48","35"
"USW00094263","BREMERTON, WA US","2017-11-11",,"50","33"
"USW00094263","BREMERTON, WA US","2017-11-12",,"52","47"
"USW00094263","BREMERTON, WA US","2017-11-13",,"49","44"
"USW00094263","BREMERTON, WA US","2017-11-15",,"49","40"
"USW00094263","BREMERTON, WA US","2017-11-16",,"43","39"
"USW00094263","BREMERTON, WA US","2017-11-17",,"49","36"
"USW00094263","BREMERTON, WA US","2017-11-18",,"50","38"
"USW00094263","BREMERTON, WA US","2017-11-19",,"45","39"
"USW00094263","BREMERTON, WA US","2017-11-20",,"50","32"
"USW00094263","BREMERTON, WA US","2017-11-21",,"57","32"
"USW00094263","BREMERTON, WA US","2017-11-22",,"61","56"
"USW00094263","BREMERTON, WA US","2017-11-23",,"56","45"
"USW00094263","BREMERTON, WA US","2017-11-24",,"47","43"
"USW00094263","BREMERTON, WA US","2017-11-25",,"50","39"
"USW00094263","BREMERTON, WA US","2017-11-26",,"52","40"
"USW00094263","BREMERTON, WA US","2017-11-27",,"50","40"
"USW00094263","BREMERTON, WA US","2017-11-28",,"44","36"
"USW00094263","BREMERTON, WA US","2017-11-29",,"48","37"
"USW00094263","BREMERTON, WA US","2017-11-30",,"44","41"
"USW00094263","BREMERTON, WA US","2017-12-01",,"45","41"
"USW00094263","BREMERTON, WA US","2017-12-02",,"42","38"
"USW00094263","BREMERTON, WA US","2017-12-03",,"44","31"
"USW00094263","BREMERTON, WA US","2017-12-04",,"41","29"
"USW00094263","BREMERTON, WA US","2017-12-05",,"43","30"
"USW00094263","BREMERTON, WA US","2017-12-06",,"50","38"
"USW00094263","BREMERTON, WA US","2017-12-08",,"47","24"
"USW00094263","BREMERTON, WA US","2017-12-09",,"46","24"
"USW00094263","BREMERTON, WA US","2017-12-10",,"48","26"
"USW00094263","BREMERTON, WA US","2017-12-11",,"50","23"
"USW00094263","BREMERTON, WA US","2017-12-12",,"49","27"
"USW00094263","BREMERTON, WA US","2017-12-13",,"48","28"
"USW00094263","BREMERTON, WA US","2017-12-14",,"49","30"
"USW00094263","BREMERTON, WA US","2017-12-16",,"42","40"
"USW00094263","BREMERTON, WA US","2017-12-17",,"45","41"
"USW00094263","BREMERTON, WA US","2017-12-18",,"48","39"
"USW00094263","BREMERTON, WA US","2017-12-19",,"48","37"
"USW00094263","BREMERTON, WA US","2017-12-20",,"44","23"
"USW00094263","BREMERTON, WA US","2017-12-21",,"40","22"
"USW00094263","BREMERTON, WA US","2017-12-22",,"39","33"
"USW00094263","BREMERTON, WA US","2017-12-23",,"37","29"
"USW00094263","BREMERTON, WA US","2017-12-24",,"36","29"
"USW00094263","BREMERTON, WA US","2017-12-25",,"35","28"
"USW00094263","BREMERTON, WA US","2017-12-26",,"40","29"
"USW00094263","BREMERTON, WA US","2017-12-27",,"38","30"
"USW00094263","BREMERTON, WA US","2017-12-28",,"45","37"
"USW00094263","BREMERTON, WA US","2017-12-29",,"52","43"
"USW00094263","BREMERTON, WA US","2017-12-30",,"46","29"
"USW00094263","BREMERTON, WA US","2017-12-31",,"41","28"
"USW00094263","BREMERTON, WA US","2018-01-01",,"42","30"
"USW00094263","BREMERTON, WA US","2018-01-02",,"42","29"
"USW00094263","BREMERTON, WA US","2018-01-03",,"47","27"
"USW00094263","BREMERTON, WA US","2018-01-05",,"49","43"
"USW00094263","BREMERTON, WA US","2018-01-06",,"47","40"
"USW00094263","BREMERTON, WA US","2018-01-07",,"43","39"
"USW00094263","BREMERTON, WA US","2018-01-08",,"46","43"
"USW00094263","BREMERTON, WA US","2018-01-09",,"45","35"
"USW00094263","BREMERTON, WA US","2018-01-10",,"43","37"
"USW00094263","BREMERTON, WA US","2018-01-11",,"48","40"
"USW00094263","BREMERTON, WA US","2018-01-12",,"48","46"
"USW00094263","BREMERTON, WA US","2018-01-13",,"52","45"
"USW00094263","BREMERTON, WA US","2018-01-14",,"61","37"
"USW00094263","BREMERTON, WA US","2018-01-15",,"60","37"
"USW00094263","BREMERTON, WA US","2018-01-16",,"51","38"
"USW00094263","BREMERTON, WA US","2018-01-17",,"50","38"
"USW00094263","BREMERTON, WA US","2018-01-18",,"48","39"
"USW00094263","BREMERTON, WA US","2018-01-19",,"43","40"
"USW00094263","BREMERTON, WA US","2018-01-20",,"45","37"
"USW00094263","BREMERTON, WA US","2018-01-21",,"47","37"
"USW00094263","BREMERTON, WA US","2018-01-22",,"46","35"
"USW00094263","BREMERTON, WA US","2018-01-23",,"47","37"
"USW00094263","BREMERTON, WA US","2018-01-24",,"48","35"
"USW00094263","BREMERTON, WA US","2018-01-25",,"41","33"
"USW00094263","BREMERTON, WA US","2018-01-26",,"40","36"
"USW00094263","BREMERTON, WA US","2018-01-27",,"50","35"
"USW00094263","BREMERTON, WA US","2018-01-28",,"52","41"
"USW00094263","BREMERTON, WA US","2018-01-29",,"50","39"
"USW00094263","BREMERTON, WA US","2018-01-30",,"48","35"
"USW00094263","BREMERTON, WA US","2018-01-31",,"43","35"
"USW00094263","BREMERTON, WA US","2018-02-01",,"44","41"
"USW00094263","BREMERTON, WA US","2018-02-02",,"53","43"
"USW00094263","BREMERTON, WA US","2018-02-03",,"51","47"
"USW00094263","BREMERTON, WA US","2018-02-04",,"56","45"
"USW00094263","BREMERTON, WA US","2018-02-05",,"54","44"
"USW00094263","BREMERTON, WA US","2018-02-06",,"48","42"
"USW00094263","BREMERTON, WA US","2018-02-07",,"51","45"
"USW00094263","BREMERTON, WA US","2018-02-08",,"56","42"
"USW00094263","BREMERTON, WA US","2018-02-09",,"49","34"
"USW00094263","BREMERTON, WA US","2018-02-10",,"45","28"
"USW00094263","BREMERTON, WA US","2018-02-11",,"44","31"
"USW00094263","BREMERTON, WA US","2018-02-12",,"45","24"
"USW00094263","BREMERTON, WA US","2018-02-13",,"47","22"
"USW00094263","BREMERTON, WA US","2018-02-14",,"43","35"
"USW00094263","BREMERTON, WA US","2018-02-15",,"43","29"
"USW00094263","BREMERTON, WA US","2018-02-16",,"48","39"
"USW00094263","BREMERTON, WA US","2018-02-17",,"49","34"
"USW00094263","BREMERTON, WA US","2018-02-19",,"36","22"
"USW00094263","BREMERTON, WA US","2018-02-20",,"32","21"
"USW00094263","BREMERTON, WA US","2018-02-21",,"35","17"
"USW00094263","BREMERTON, WA US","2018-02-23",,"36","16"
"USW00094263","BREMERTON, WA US","2018-02-24",,"44","32"
"USW00094263","BREMERTON, WA US","2018-02-25",,"44","25"
"USW00094263","BREMERTON, WA US","2018-02-26",,"44","26"
"USW00094263","BREMERTON, WA US","2018-02-27",,"49","33"
"USW00094263","BREMERTON, WA US","2018-02-28",,"42","37"
"USW00094263","BREMERTON, WA US","2018-03-01",,"48","30"
"USW00094263","BREMERTON, WA US","2018-03-02",,"44","30"
"USW00094263","BREMERTON, WA US","2018-03-03",,"50","29"
"USW00094263","BREMERTON, WA US","2018-03-04",,"47","26"
"USW00094263","BREMERTON, WA US","2018-03-06",,"51","39"
"USW00094263","BREMERTON, WA US","2018-03-07",,"48","37"
"USW00094263","BREMERTON, WA US","2018-03-08",,"48","35"
"USW00094263","BREMERTON, WA US","2018-03-09",,"50","31"
"USW00094263","BREMERTON, WA US","2018-03-10",,"58","29"
"USW00094263","BREMERTON, WA US","2018-03-11",,"65","31"
"USW00094263","BREMERTON, WA US","2018-03-12",,"70","33"
"USW00094263","BREMERTON, WA US","2018-03-13",,"57","38"
"USW00094263","BREMERTON, WA US","2018-03-14",,"53","30"
"USW00094263","BREMERTON, WA US","2018-03-15",,"57","25"
"USW00094263","BREMERTON, WA US","2018-03-16",,"58","32"
"USW00094263","BREMERTON, WA US","2018-03-17",,"55","31"
"USW00094263","BREMERTON, WA US","2018-03-18",,"55","30"
"USW00094263","BREMERTON, WA US","2018-03-19",,"55","27"
"USW00094263","BREMERTON, WA US","2018-03-20",,"56","29"
"USW00094263","BREMERTON, WA US","2018-03-21",,"57","27"
"USW00094263","BREMERTON, WA US","2018-03-22",,"46","35"
"USW00094263","BREMERTON, WA US","2018-03-23",,"46","35"
"USW00094263","BREMERTON, WA US","2018-03-24",,"46","28"
"USW00094263","BREMERTON, WA US","2018-03-25",,"52","28"
"USW00094263","BREMERTON, WA US","2018-03-26",,"45","38"
"USW00094263","BREMERTON, WA US","2018-03-27",,"57","43"
"USW00094263","BREMERTON, WA US","2018-03-28",,"51","42"
"USW00094263","BREMERTON, WA US","2018-03-29",,"52","41"
"USW00094263","BREMERTON, WA US","2018-03-30",,"59","43"
"USW00094263","BREMERTON, WA US","2018-03-31",,"58","42"
"USW00094263","BREMERTON, WA US","2018-04-01",,"52","28"
"USW00094263","BREMERTON, WA US","2018-04-02",,"54","24"
"USW00094263","BREMERTON, WA US","2018-04-03",,"50","34"
"USW00094263","BREMERTON, WA US","2018-04-04",,"47","39"
"USW00094263","BREMERTON, WA US","2018-04-05",,"52","43"
"USW00094263","BREMERTON, WA US","2018-04-06",,"65","50"
"USW00094263","BREMERTON, WA US","2018-04-07",,"54","44"
"USW00094263","BREMERTON, WA US","2018-04-08",,"54","44"
"USW00094263","BREMERTON, WA US","2018-04-09",,"62","37"
"USW00094263","BREMERTON, WA US","2018-04-10",,"59","41"
"USW00094263","BREMERTON, WA US","2018-04-11",,"49","41"
"USW00094263","BREMERTON, WA US","2018-04-12",,"53","37"
"USW00094263","BREMERTON, WA US","2018-04-13",,"50","41"
"USW00094263","BREMERTON, WA US","2018-04-14",,"50","42"
"USW00094263","BREMERTON, WA US","2018-04-15",,"50","40"
"USW00094263","BREMERTON, WA US","2018-04-16",,"48","39"
"USW00094263","BREMERTON, WA US","2018-04-17",,"53","37"
"USW00094263","BREMERTON, WA US","2018-04-18",,"57","35"
"USW00094263","BREMERTON, WA US","2018-04-19",,"60","32"
"USW00094263","BREMERTON, WA US","2018-04-20",,"60","35"
"USW00094263","BREMERTON, WA US","2018-04-21",,"57","41"
"USW00094263","BREMERTON, WA US","2018-04-22",,"59","33"
"USW00094263","BREMERTON, WA US","2018-04-23",,"69","37"
"USW00094263","BREMERTON, WA US","2018-04-24",,"77","41"
"USW00094263","BREMERTON, WA US","2018-04-25",,"74","50"
"USW00094263","BREMERTON, WA US","2018-04-26",,"81","45"
"USW00094263","BREMERTON, WA US","2018-04-27",,"60","47"
"USW00094263","BREMERTON, WA US","2018-04-28",,"55","46"
"USW00094263","BREMERTON, WA US","2018-04-29",,"60","43"
"USW00094263","BREMERTON, WA US","2018-04-30",,"55","44"
"USW00094263","BREMERTON, WA US","2018-05-01",,"60","40"
"USW00094263","BREMERTON, WA US","2018-05-02",,"70","36"
"USW00094263","BREMERTON, WA US","2018-05-03",,"73","43"
"USW00094263","BREMERTON, WA US","2018-05-04",,"63","46"
"USW00094263","BREMERTON, WA US","2018-05-05",,"67","47"
"USW00094263","BREMERTON, WA US","2018-05-06",,"77","52"
"USW00094263","BREMERTON, WA US","2018-05-07",,"70","50"
"USW00094263","BREMERTON, WA US","2018-05-08",,"79","44"
"USW00094263","BREMERTON, WA US","2018-05-09",,"64","48"
"USW00094263","BREMERTON, WA US","2018-05-10",,"58","46"
"USW00094263","BREMERTON, WA US","2018-05-11",,"66","44"
"USW00094263","BREMERTON, WA US","2018-05-13",,"81","46"
"USW00094263","BREMERTON, WA US","2018-05-14",,"88","48"
"USW00094263","BREMERTON, WA US","2018-05-15",,"68","51"
"USW00094263","BREMERTON, WA US","2018-05-16",,"66","51"
"USW00094263","BREMERTON, WA US","2018-05-17",,"65","44"
"USW00094263","BREMERTON, WA US","2018-05-18",,"63","44"
"USW00094263","BREMERTON, WA US","2018-05-19",,"71","52"
"USW00094263","BREMERTON, WA US","2018-05-20",,"65","47"
"USW00094263","BREMERTON, WA US","2018-05-21",,"69","47"
"USW00094263","BREMERTON, WA US","2018-05-22",,"76","46"
"USW00094263","BREMERTON, WA US","2018-05-23",,"79","46"
"USW00094263","BREMERTON, WA US","2018-05-24",,"71","50"
"USW00094263","BREMERTON, WA US","2018-05-25",,"65","48"
"USW00094263","BREMERTON, WA US","2018-05-26",,"63","45"
"USW00094263","BREMERTON, WA US","2018-05-27",,"75","41"
"USW00094263","BREMERTON, WA US","2018-05-28",,"67","45"
