date,description,gallons,sale_amount
2023-08-14,PROPANE INDEX,699.3,1104.89
2023-09-30,PROPANE INDEX,1023.7,1689.51
2023-10-20,PROPANE INDEX,742.3,1256.71
2023-10-30,PROPANE INDEX,506.0,872.04
2023-11-07,PROPANE INDEX,958.5,1603.67
2023-11-16,PROPANE INDEX,797.4,1320.49
2023-11-22,PROPANE INDEX,661.0,1089.26
2023-11-30,PROPANE INDEX,996.9,1643.49
2023-12-10,PROPANE INDEX,1099.0,1944.57
2023-12-18,PROPANE INDEX,944.0,1703.54
2023-12-26,PROPANE INDEX,965.7,1715.47
2024-01-05,PROPANE INDEX,768.8,1362.7
2024-01-11,PROPANE INDEX,1257.8,2258.63
2024-01-16,PROPANE INDEX,1245.2,2325.16
2024-01-24,PROPANE INDEX,906.4,1761.59
2024-02-02,PROPANE INDEX,750.9,1480.62
2024-02-10,PROPANE INDEX,856.3,1682.2
2024-02-16,PROPANE INDEX,717.3,1414.59
2024-02-27,PROPANE INDEX,1000.0,1888.8
2024-03-05,PROPANE INDEX,1040.9,1923.79
2024-03-12,PROPANE INDEX,748.5,1383.38
2024-03-22,PROPANE INDEX,750.9,1387.81
2024-04-04,PROPANE INDEX,877.4,1554.58
2024-04-15,PROPANE INDEX,763.4,1309.92
2024-04-30,PROPANE INDEX,1045.8,1815.4
2024-05-21,PROPANE INDEX,934.0,1621.33
2024-06-21,PROPANE INDEX,965.5,1582.65
2024-08-28,PROPANE INDEX,935.8,1427.66
2024-10-09,PROPANE INDEX,964.3,1614.53
2024-10-25,PROPANE INDEX,1015.9,1746.64
2024-11-07,PROPANE INDEX,1061.8,2015.08
2024-11-19,PROPANE INDEX,1144.5,2232.35
2024-11-26,PROPANE INDEX,696.9,1391.64
2024-12-05,PROPANE INDEX,1227.9,2460.96
2024-12-12,PROPANE INDEX,664.8,1332.59
2024-12-19,PROPANE INDEX,870.9,1725.08
2024-12-28,PROPANE INDEX,811.7,1606.19
2025-01-05,PROPANE INDEX,956.3,1875.02
2025-01-14,PROPANE INDEX,1038.3,2089.47
2025-01-18,PROPANE INDEX,605.7,1244.41
2025-01-25,PROPANE INDEX,902.6,1871.9
2025-01-31,PROPANE INDEX,919.7,1912.88
2025-02-06,PROPANE INDEX,923.4,1976.26
2025-02-11,PROPANE INDEX,906.7,1947.68
2025-02-19,PROPANE INDEX,1036.6,2232.84
2025-02-28,PROPANE INDEX,888.3,1913.4
2025-03-11,PROPANE INDEX,1151.8,2480.98
2025-03-20,PROPANE INDEX,900.4,1948.47
2025-04-04,PROPANE INDEX,364.4,783.46
2025-04-08,PROPANE INDEX,970.5,2086.58
2025-04-18,PROPANE INDEX,672.8,1446.52
2025-04-30,PROPANE INDEX,770.4,1640.95
2025-05-15,PROPANE INDEX,737.3,1540.96
2025-06-13,PROPANE INDEX,1143.0,2128.38
2025-07-18,PROPANE INDEX,733.5,1357.42
2025-08-27,PROPANE INDEX,755.1,1340.0
2025-10-02,PROPANE INDEX,837.6,1552.66
2025-10-22,PROPANE INDEX,914.8,1741.5
2025-11-04,PROPANE INDEX,1134.1,2158.99
2025-11-14,PROPANE INDEX,803.7,1530.0
2025-11-22,PROPANE INDEX,792.0,1507.73
2025-12-01,PROPANE INDEX,1095.9,2086.26
2025-12-10,PROPANE INDEX,871.7,1704.44
2025-12-19,PROPANE INDEX,916.5,1766.28
2025-12-26,PROPANE INDEX,865.7,1651.67
2026-01-01,PROPANE INDEX,970.9,1884.61
2026-01-09,PROPANE INDEX,1002.8,1964.69
2026-01-19,PROPANE INDEX,1150.2,2286.02
2026-01-24,PROPANE INDEX,864.8,1741.27
